PTEN,count
"TACC1>CYC1,+",1
"MTRNR2L8>MTRNR2L12,+",1
"NOSIP>CCT5,+",1
"RAPGEF3>CCT5,-",1
"RAPGEF3>SHISA5,+",1
"ZBTB7A>SHISA5,-",1
"ZBTB7A>CFLAR,+",1
"ZFHX3>CFLAR,+",1
"MTRNR2L12>MTRNR2L8,+",1
"DDX23>ASAP1,+",1
"FAM208A>MRPL28,+",1
"NOSIP>TM9SF3,+",1
"EGLN1>TM9SF3,+",1
"PTMS>MEIS2,+",1
"NFAT5>ZFHX3,+",1
"ERAP2>AAMP,+",1
"HNRNPUL1>AAMP,+",1
"ABI2>TAOK1,+",1
"DR1>TAOK1,+",1
"NFAT5>HNRNPUL1,+",1
"KMT2A>HNRNPUL1,+",1
"SRRM2>PTPRM,+",1
"HNRNPUL1>PTPRM,+",1
"LRP5>SPTBN1,+",1
"REV3L>SPTBN1,+",1
"PCM1>AKAP9,+",1
"HNRNPUL1>AKAP9,+",1
"PTPRM>AKAP9,+",1
"PCM1>LRP5,+",1
"AKAP9>LRP5,+",1
"ERBIN>LRP5,+",1
"ERAP2>SLIRP,+",1
"MT-CYB>SLIRP,+",1
"REV3L>ANP32E,+",1
"KMT2A>ANP32E,+",1
"SLIRP>ERBIN,+",1
"KMT2A>MEIS2,+",1
"AKAP9>ZFAND6,+",1
"MEIS2>ZFAND6,+",1
"MT-CYB>MT-ATP6,+",1
"CYBC1>EBF1,+",1
"CTSA>SHISA5,+",1
"ERBIN>NDUFC2,+",1
"KMT2A>NDUFC2,+",1
"ZFAND6>APP,-",1
"REV3L>PTMS,+",1
"AKAP9>PTMS,+",1
"MT-CYB>PTMS,+",1
"LRP5>MCAM,-",1
"ERBIN>MCAM,+",1
"STAG2>CCND3,+",1
"MT-CYB>ABI2,+",1
"DR1>STAG2,+",1
"LRP5>REV3L,+",1
"ZFHX3>REV3L,+",1
"HNRNPUL1>TLN1,+",1
"AKAP9>TLN1,+",1
"APP>AFDN,+",1
"MEIS2>AFDN,-",1
"MT-CYB>DR1,+",1
"MEIS2>NEAT1,+",1
"REV3L>ABI2,+",1
"KMT2A>ERBIN,+",1
"PTPRM>BPTF,+",1
"STAG2>BPTF,+",1
"CNBP>EPHA4,+",1
"SPATS2L>TGM2,+",1
"ZNF428>VPS51,+",1
"TGM2>VPS51,+",1
"NFAT5>VPS51,+",1
"SUCLG1>VPS51,+",1
"NRN1>VPS51,+",1
"AAMP>DGKZ,+",1
"RAN>DGKZ,+",1
"CMPK1>DGKZ,+",1
"SELENOW>EPHA4,+",1
"RAN>TAF15,+",1
"CMPK1>PSMB4,+",1
"EPHA4>TAF15,-",1
"RHOA>CEP170,+",1
"SQSTM1>CEP170,-",1
"CHIC2>RAN,+",1
"PTMA>RAN,+",1
"PPDPF>RAN,+",1
"AAMP>PCBP2,+",1
"CMPK1>NFAT5,+",1
"SPATS2L>DAZAP2,+",1
"YBX1>AAMP,+",1
"VPS51>TGM2,+",1
"RHOA>CMPK1,+",1
"DR1>SLC3A2,+",1
"CHIC2>SBDS,+",1
"ERBIN>SLC3A2,+",1
"ERBIN>CDH5,+",1
"APP>CDH5,+",1
"STAG2>PSMB3,+",1
"AAMP>VAT1,+",1
"ERBIN>VAT1,+",1
"PTMS>VAT1,+",1
"DCTN3>CAPN2,+",1
"MT-CYB>TAPBP,+",1
"NDUFC2>TAPBP,+",1
"RHOA>MAP4,+",1
"TGM2>CMPK1,+",1
"SUCLG1>MAP4,+",1
"RAN>PPDPF,+",1
"PPP4R2>SQSTM1,+",1
"LSM5>SQSTM1,+",1
"EIF3H>SQSTM1,+",1
"PPP4R2>CHIC2,-",1
"EPHA4>CHIC2,-",1
"EIF3H>CHIC2,-",1
"NRN1>CD55,+",1
"RAN>CD55,+",1
"PRPF38B>SNRNP200,+",1
"ARPC5>NOSIP,+",1
"ARPC5>SLIRP,+",1
"CBX6>ASAP1,-",1
"TM9SF3>BPTF,+",1
"ZFAND6>HSP90AB1,+",1
"SLC3A2>HSP90AB1,+",1
"RPL8>HSP90AB1,+",1
"PTEN>ACTR10,+",1
"CAPN2>YIPF6,+",1
"EDEM3>ITSN2,+",1
"EDEM3>AAMP,+",1
"ASAP1>PRMT1,-",1
"TMEM167A>ASAP1,+",1
"SLIRP>ASAP1,+",1
"MALAT1>ZFAND6,+",1
"CREB3L2>ASAP1,-",1
"ZFAND6>ASAP1,-",1
"DPYSL3>CTNNA1,+",1
"CBX6>DMAC1,-",1
"ASAP1>DMAC1,+",1
"CTNNA1>DMAC1,+",1
"ITSN2>NDUFA8,+",1
"CYBC1>NDUFA8,+",1
"ARPC5>NDUFA8,+",1
"ARPC5>TGFB1,+",1
"SLK>ZFAND6,+",1
"GRINA>ZFAND6,-",1
"TMEM167A>PLS3,+",1
"SNX3>PPP4R3A,+",1
"YIPF6>TM9SF3,+",1
"NDUFA3>TM9SF3,+",1
"EML4>TM9SF3,+",1
"HPCAL1>TM9SF3,+",1
"SNX3>DYNC1H1,+",1
"CYBC1>PPP1R13B,+",1
"MALAT1>MT-ND3,+",1
"TM9SF3>MT-ND3,+",1
"EDEM3>EML4,-",1
"SMG1>EML4,-",1
"AAMP>PPP4R3A,+",1
"HPCAL1>GRINA,-",1
"MAP4>PPP4R3A,+",1
"SELENOK>EIF4B,+",1
"CYBC1>DDX23,+",1
"YIPF6>DDX23,+",1
"CTNND1>DDX23,+",1
"EDEM3>NPDC1,+",1
"MAP4>NPDC1,+",1
"MAP4>HPCAL1,+",1
"MEF2A>GRINA,+",1
"SLC3A2>GRINA,+",1
"DMAC1>TGFB1,+",1
"DPYSL3>PLS3,-",1
"CTNNA1>AHI1,+",1
"PRPF38B>DGLUCY,-",1
"TAPBP>EID1,+",1
"PLS3>DPYSL3,-",1
"CTSA>DST,+",1
"ARPC5>HOXB2,+",1
"DMAC1>HOXB2,+",1
"NOSIP>MRPL32,+",1
"DCTN3>VAT1,+",1
"ITSN2>EXOC7,+",1
"CBX6>EXOC7,-",1
"CTSA>EXOC7,-",1
"TMEM167A>CREB3L2,+",1
"CTSA>MAP4,+",1
"NDUFB10>CREB3L2,-",1
"SHISA5>SELENOK,+",1
"CREBRF>SELENOK,+",1
"EXOC7>SELENOK,+",1
"ABI2>DCTN3,+",1
"VAT1>DCTN3,+",1
"CCAR1>NDUFB10,+",1
"KLHL5>NDUFB10,-",1
"VAT1>AHI1,+",1
"DGLUCY>AHI1,+",1
"DGLUCY>PRPF38B,-",1
"EXOC7>ZKSCAN1,+",1
"TGFB1>PLS3,+",1
"ARPC5>APLP2,+",1
"CREB3L2>GIMAP4,+",1
"ARPC5>CBX6,-",1
"PRPF38B>CBX6,+",1
"DGLUCY>CBX6,+",1
"TAPBP>COMMD7,+",1
"DCTN3>CTSA,+",1
"ITSN2>CTSA,+",1
"TMEM167A>CYBC1,+",1
"EXOC7>CYBC1,+",1
"CBX6>CYBC1,+",1
"CREBRF>APLP2,+",1
"CREB3L2>ZKSCAN1,-",1
"GIMAP4>GABARAPL2,+",1
"PLS3>TAPBP,+",1
"CREB3L2>TAPBP,+",1
"ARPC5>KLHL5,+",1
"CREB3L2>KLHL5,+",1
"DMAC1>ARPC5,+",1
"EXOC7>ARPC5,+",1
"ITSN2>FAM214A,+",1
"ZFAND6>FAM214A,+",1
"CCAR1>ZKSCAN1,+",1
"BAZ1B>REST,+",1
"GID8>ATP5F1D,+",1
"SERINC3>EGLN1,+",1
"SRGN>TM4SF1,+",1
"SRGN>NDUFA3,+",1
"NEU1>IPO7,+",1
"MAP4>IPO7,+",1
"PLPP1>SLC9A3R2,+",1
"TMEM123>PIK3R3,+",1
"DYNC1H1>PIK3R3,+",1
"EFNB2>SEPT2,+",1
"IL3RA>SEPT2,+",1
"NDUFA3>IGFBP2,+",1
"PIK3R3>IGFBP2,+",1
"SEPT2>PDCD4,+",1
"ATP1B3>CEP57,-",1
"SEPT2>CUTA,+",1
"ATP1B3>CUTA,+",1
"STOM>MEF2A,+",1
"NXN>MEF2A,+",1
"ATP1B3>STOM,+",1
"UBE2H>STOM,+",1
"NEU1>TMEM123,+",1
"PIK3R3>TMEM123,+",1
"SRGN>UBE2H,+",1
"SRGN>FRMD4B,+",1
"CEP57>NDUFA3,+",1
"DYNC1H1>CEP57,+",1
"NONO>ATP1B3,+",1
"CHSY1>PNISR,+",1
"LUC7L3>EEA1,+",1
"RHOC>EEA1,-",1
"CACYBP>ZFAND6,+",1
"MBNL2>VASP,+",1
"COPS2>LUC7L3,+",1
"CACYBP>LUC7L3,+",1
"CEP57>NOSIP,+",1
"DYNC1H1>NOSIP,+",1
"DYNC1H1>EFCAB14,+",1
"COL4A1>PNISR,+",1
"NOSIP>PNISR,+",1
"EFNB2>NXN,+",1
"MBNL2>PNISR,+",1
"PPP2CB>PNISR,-",1
"PITPNC1>MAGI1,+",1
"NOSIP>SMG1,+",1
"RHOC>CALM1,+",1
"CEP57>HSP90AB1,+",1
"RANBP1>HSP90AB1,+",1
"SNRPD3>MAP3K2,+",1
"CEP57>GIMAP4,+",1
"UBE2H>NXN,+",1
"C9orf78>DR1,+",1
"SEPT2>PALMD,+",1
"PRKAA1>SPCS2,+",1
"BEX4>C9orf78,-",1
"ATP5PB>NAPRT,+",1
"ITFG1>NAPRT,+",1
"FRMD4B>GNB2,+",1
"SELENOM>H2AFZ,+",1
"RARRES3>H2AFZ,+",1
"FMR1>ZFAND6,+",1
"MARCKSL1>C19orf24,+",1
"ZFAND6>C19orf24,+",1
"DYNLL1>C19orf24,+",1
"MYL6>ATP1B3,+",1
"ITFG1>TMEM109,+",1
"TAGLN2>SELENOM,+",1
"NHP2>TMEM109,+",1
"NDUFAF3>PLEKHB2,+",1
"TAGLN2>PLEKHB2,+",1
"MORF4L1>EGLN1,+",1
"SELENOW>PSMB3,+",1
"DCTN3>MYADM,-",1
"ATP5PB>MYADM,+",1
"MYL6>TAGLN2,+",1
"DOCK4>NDUFA3,-",1
"SELENOM>MARCKSL1,+",1
"NDUFA3>NAPRT,-",1
"ITFG1>SELENOM,+",1
"SRGN>PALMD,+",1
"CDH5>IL3RA,+",1
"EFNB2>PLPP1,+",1
"DYNC1H1>MMRN2,+",1
"NDUFA3>MPRIP,+",1
"DYNC1H1>ABI2,+",1
"NONO>ABI2,+",1
"TMEM70>PREX2,-",1
"NXN>CBX6,+",1
"STOM>CBX6,+",1
"NFAT5>CBX6,+",1
"KANSL1>IL3RA,+",1
"KANSL1>PGRMC2,+",1
"ZFAND6>SELENOM,+",1
"NDUFA3>PGRMC2,+",1
"SRGN>PGRMC2,+",1
"MYL6>DYNLL1,+",1
"DCTN3>SELENOW,+",1
"RARRES3>SELENOW,+",1
"ITFG1>NHP2,+",1
"DYNLL1>NHP2,+",1
"ZFAND6>NHP2,+",1
"TAGLN2>NHP2,+",1
"PSMB3>SLIRP,+",1
"DPM3>EEA1,-",1
"SNRPD3>FOXO1,+",1
"NDUFAF3>VASP,+",1
"RPL15>LIMS2,+",1
"DDX23>RICTOR,+",1
"FAM84B>RICTOR,+",1
"ZNF292>RICTOR,-",1
"TAPBP>RICTOR,+",1
"RICTOR>GLG1,+",1
"RPSA>GLG1,+",1
"COX6B1>PKM,+",1
"HEG1>SERPINB6,+",1
"RPLP2>RPS27,+",1
"ZNF292>LIMS2,+",1
"HEG1>LIMS2,+",1
"LIMS2>TSC22D3,+",1
"RPL35>ERG,+",1
"PLEKHA3>C11orf58,+",1
"RNPS1>SMIM37,+",1
"NDUFA5>SMIM37,+",1
"RPL15>SMIM37,+",1
"COX6B1>SMIM37,+",1
"MEA1>SMIM37,+",1
"RPSA>HSP90AB1,+",1
"RPL15>WNK1,+",1
"TSC22D3>NDUFAF3,+",1
"CPNE2>TSC22D3,+",1
"TSC22D3>USP7,+",1
"COX6B1>NDUFAF3,+",1
"TSC22D3>TSC22D2,+",1
"HLA-DPB1>COPS2,+",1
"JAG1>CPT1A,+",1
