ERG,count
"MRPS5>SNRPD2,+",1
"ZNF22>SNRPD2,+",1
"GPATCH8>SON,+",1
"FAM171A1>PRKAR2A,+",1
"MRPS5>EIF4B,+",1
"HLA-B>EIF4B,+",1
"CD46>CLEC14A,+",1
"CD46>JCAD,+",1
"ZFP36L1>JCAD,+",1
"RND3>CLPTM1,+",1
"MYO6>TM2D1,-",1
"NFE2L1>NEDD8,+",1
"RAB7A>NEDD8,+",1
"OCIAD1>NEDD8,+",1
"TMEM141>NEDD8,+",1
"PTPRK>MKL2,+",1
"TMEM141>MKL2,+",1
"ZNF503>MKL2,+",1
"SPARCL1>MKL2,+",1
"PRKAR2A>UBE2E3,+",1
"GIMAP7>MFGE8,+",1
"ZNF503>MFGE8,+",1
"ZNF503>MAP1LC3A,+",1
"ECHS1>SUPT4H1,+",1
"MKL2>SUPT4H1,+",1
"LTN1>TBL1XR1,-",1
"MMP24OS>TBL1XR1,+",1
"SPARCL1>HLA-C,+",1
"CFAP20>ERG,+",1
"EIF4G2>HNRNPR,+",1
"S100A13>C1orf122,+",1
"SNAPIN>C1orf122,+",1
"ZNF326>ZFP36L1,+",1
"GIMAP7>PHC3,+",1
"ZFP36L1>RAB7A,-",1
"KLHL5>EIF4H,+",1
"ZNF503>TM2D1,+",1
"RAB7A>TACC1,+",1
"ZFP36L1>TACC1,+",1
"RAB7A>CFAP20,+",1
"MMP24OS>EIF4H,+",1
"POLR2J>EIF4H,+",1
"ECHS1>EIF4H,+",1
"ZNF326>EIF4H,+",1
"TM2D1>EIF4H,+",1
"OCIAD1>SF3B6,+",1
"TMEM141>RAB7A,+",1
"PRKAR2A>SF3B6,+",1
"PSMB5>TMX3,+",1
"PSMB5>MMP24OS,+",1
"PHC3>PEA15,+",1
"NFE2L1>PSMB5,+",1
"TMEM141>PSMB5,+",1
"KLHL5>PSMB5,+",1
"MMP24OS>PSMB5,+",1
"ZFP36L1>ADGRL4,+",1
"ZNF22>HMGN2,+",1
"COPS2>HMGN2,+",1
"VEZF1>TGFB1I1,+",1
"BCL3>YWHAB,+",1
"SLC38A2>NUDCD1,+",1
"CCND3>LAMTOR4,+",1
"ENO1>LAMTOR4,+",1
"YWHAB>ARGLU1,+",1
"TMEM141>ARGLU1,-",1
"MFGE8>CCND3,-",1
"RPS6KA3>CCND3,+",1
"YWHAB>CCND3,+",1
"ENO1>CCND3,+",1
"YWHAB>DDX5,+",1
"YWHAB>BCL3,+",1
"RPS6KA3>ST13,+",1
"HLA-C>ST13,+",1
"GFOD2>ST13,+",1
"CIAO1>KMT2A,+",1
"VEZF1>KMT2A,+",1
"KANSL1>KMT2A,+",1
"CCND3>MFGE8,-",1
"YWHAB>MFGE8,+",1
"KANSL1>DOCK1,+",1
"LAMTOR4>DOCK1,+",1
"CIAO1>LAMTOR4,-",1
"MTPN>PTMS,+",1
"RPL7A>RPL27,+",1
"TGFB1I1>PLRG1,-",1
