gene,total_count
UBE2D3,121.37396278241539
NDUFB2,121.36027221615245
EIF4A2,121.28879628614463
PPP1R2,121.28295582556103
C19ORF43,121.20998855307231
GSTK1,121.20975733883895
S100A10,121.17846856437556
TRAF3IP3,121.17714629937117
NDUFB9,121.08050674930249
NCL,121.05338554938321
GPR183,120.94493204983978
C19ORF53,120.93379205064838
NOP10,120.78831176203528
PHF20,120.7408317143468
RGS2,120.69483804818044
DDX46,120.6686964219547
CWF19L2,120.63965271683578
HNRNPM,120.62876198972067
TPI1,120.58662767592752
NDUFB11,120.53426389064111
RNASET2,120.49572813470233
DDX18,120.49530891592343
ENSA,120.4831100241003
SEPT6,120.44070546448393
USMG5,120.38236946119814
NDUFA1,120.35098868771767
DNAJA1,120.35032978643713
DUSP1,120.29987971083663
ATP5I,120.28519247883301
HMGN1,120.20435740169549
CHMP4A,120.19690226581763
COPE,120.17420101150599
ATP5J2,120.17130391335161
G3BP2,120.10798734243285
STAT3,120.0661522627409
POLR3GL,119.92896804282344
PSMB1,119.92129562510756
EIF3H,119.8964270756965
FAM177A1,119.8473759082304
ARID4B,119.81144280850954
FYN,119.80688644475029
PRPF38B,119.74524944865722
CD8A,119.6872958036416
NDUFA11,119.61034812721687
ARF1,119.5695140346568
S100A11,119.54135827449267
SPCS1,119.51692703540502
RBM3,119.43279854016468
BRK1,119.33425794025165
ARL6IP4,119.33412384561004
HN1,119.20949380273403
RSRP1,119.19529247125531
CKLF,119.0483228173355
RPS27L,118.93674576665002
LAMTOR5,118.93317915922697
HLA-DQA1,118.85283980540606
UBE2D2,118.81009967559932
TRA2B,118.80695285135005
PARK7,118.75577059018796
C12ORF75,118.70404427182181
SP100,118.64117261004925
ARGLU1,118.60743599670535
TAF7,118.56463830359044
HSPE1,118.56402326788407
HNRNPC,118.44166878233139
PSMB8-AS1,118.36803389919642
C12ORF57,118.30145923598452
CD79A,118.28453250654303
SNHG8,118.25561623666448
TAF1D,118.01912133666326
RUNX3,118.0184122774673
PRDX5,117.9353737760118
DDX3X,117.91579655724678
POMP,117.87906652439342
BLOC1S1,117.79178427734001
CLEC2D,117.73278180795998
PDCD4,117.57756582659893
CAPZB,117.5355979004652
SLC2A3,117.53074397721082
PLAC8,117.50633317655063
LRRFIP1,117.44678235303331
GPX4,117.33555717779514
RBM25,117.3268816496075
CKS2,117.28984292308287
GTF3A,117.16452240544146
UBE2L3,117.11848378593746
ARID5B,117.10204008595232
SRSF11,117.02830656421865
UBE2I,117.01228610101545
JTB,116.98367480559925
PTPN7,116.93697268248278
POLR2J3,116.92486224178889
PSME2,116.90982438709193
TUBA1A,116.85277583896031
MYEOV2,116.76407802667482
PPIG,116.72982826241794
GPR65,116.50919964264205
PSMC5,116.50280777080202
EIF2S2,116.4361773184047
NR4A2,116.406721667651
NCOR1,116.34397213136644
TERF2IP,116.24659787334187
EEF2,116.19119737844099
OCIAD2,116.08761886970811
ANP32B,115.99339367424966
HERPUD1,115.87361196594763
LUC7L3,115.86484112813928
NDUFB8,115.71375121764845
SRRM1,115.67818349704872
EIF5B,115.66925572971645
UQCRQ,115.66917601033471
RSL1D1,115.58686931761693
DEK,115.53540809393225
PYURF,115.5079914438891
ECH1,115.49872993396731
COX14,115.46798743627913
ATP1B3,115.37024109205743
SKAP1,115.3439608830162
CHURC1,115.24789325730715
APBB1IP,115.23801095784923
PPP1R18,115.11906692945176
SAMSN1,115.1181838211096
C11ORF31,115.10461970439961
PSMB3,115.07090377037532
PCSK7,115.06280986227533
SAMD3,114.99889521177788
DNAJB1,114.98875872355116
ZNF331,114.93772984866428
PPP1CA,114.92745175894437
SPCS2,114.89333500290958
SYTL3,114.88932888213456
VIM,114.82955983415401
SERP1,114.82553309739244
JUN,114.80124312697136
ATP5H,114.79061060375577
SLC25A3,114.79019800369
WDR83OS,114.75451409137405
LDHA,114.73913659395686
WHSC1L1,114.63373696429046
MRPS21,114.61761138325703
TM2D3,114.58664224940567
DDX17,114.552873104901
COTL1,114.54971319203933
SF3B6,114.54567777811354
BCAP31,114.5376310340171
MIF,114.43114055268224
CD55,114.3108720706326
CCNDBP1,114.29334486211562
COX5B,114.11859247994732
DNAJB6,114.06696201171283
LGALS1,114.04028215457136
